Pepperoni Pizza,"Indulge in our Pepperoni Bliss: a crispy crust layered with rich tomato sauce, melted mozzarella, and spicy, savory pepperoni slices for a classic taste adventure.",11.50,SMALL,Pepperoni,MEATLOVERS
Pepperoni Pizza,"Indulge in our Pepperoni Bliss: a crispy crust layered with rich tomato sauce, melted mozzarella, and spicy, savory pepperoni slices for a classic taste adventure.",13.50,MEDIUM,Pepperoni,MEATLOVERS
Pepperoni Pizza,"Indulge in our Pepperoni Bliss: a crispy crust layered with rich tomato sauce, melted mozzarella, and spicy, savory pepperoni slices for a classic taste adventure.",15.50,LARGE,Pepperoni,MEATLOVERS
Hawaiian Pizza,"Experience a tropical twist with our Hawaiian Pizza, featuring sweet pineapple chunks and succulent ham, harmoniously melded with gooey mozzarella on a crispy golden crust.",14.50,SMALL,Hawaiian,SPECIALTY
Hawaiian Pizza,"Experience a tropical twist with our Hawaiian Pizza, featuring sweet pineapple chunks and succulent ham, harmoniously melded with gooey mozzarella on a crispy golden crust.",16.50,MEDIUM,Hawaiian,SPECIALTY
Hawaiian Pizza,"Experience a tropical twist with our Hawaiian Pizza, featuring sweet pineapple chunks and succulent ham, harmoniously melded with gooey mozzarella on a crispy golden crust.",18.50,LARGE,Hawaiian,SPECIALTY
Deluxe Pizza,"Feast on our Deluxe Pizza, a gourmet medley of fresh bell peppers, savory onions, succulent mushrooms, pepperoni, and Italian sausage, all atop a golden, cheesy crust.",15.50,SMALL,Deluxe,SPECIALTY
Deluxe Pizza,"Feast on our Deluxe Pizza, a gourmet medley of fresh bell peppers, savory onions, succulent mushrooms, pepperoni, and Italian sausage, all atop a golden, cheesy crust.",17.50,MEDIUM,Deluxe,SPECIALTY
Deluxe Pizza,"Feast on our Deluxe Pizza, a gourmet medley of fresh bell peppers, savory onions, succulent mushrooms, pepperoni, and Italian sausage, all atop a golden, cheesy crust.",19.50,LARGE,Deluxe,SPECIALTY
Meat Lovers Pizza,"Carnivore's delight: Our Meat Lovers Pizza is generously topped with pepperoni, sausage, bacon, and ham, all smothered in rich, melted cheese on a classic crust.",14.50,SMALL,Meat Lovers,MEATLOVERS
Meat Lovers Pizza,"Carnivore's delight: Our Meat Lovers Pizza is generously topped with pepperoni, sausage, bacon, and ham, all smothered in rich, melted cheese on a classic crust.",16.50,MEDIUM,Meat Lovers,MEATLOVERS
Meat Lovers Pizza,"Carnivore's delight: Our Meat Lovers Pizza is generously topped with pepperoni, sausage, bacon, and ham, all smothered in rich, melted cheese on a classic crust.",18.50,LARGE,Meat Lovers,MEATLOVERS
Vegetarian Pizza,"Garden-fresh and flavorful, our Vegetarian Pizza is a vibrant blend of ripe tomatoes, crisp bell peppers, sweet onions, and mushrooms, all nestled on a bed of stretchy mozzarella.",15.50,SMALL,Vegetarian,VEGETARIAN
Vegetarian Pizza,"Garden-fresh and flavorful, our Vegetarian Pizza is a vibrant blend of ripe tomatoes, crisp bell peppers, sweet onions, and mushrooms, all nestled on a bed of stretchy mozzarella.",17.50,MEDIUM,Vegetarian,VEGETARIAN
Vegetarian Pizza,"Garden-fresh and flavorful, our Vegetarian Pizza is a vibrant blend of ripe tomatoes, crisp bell peppers, sweet onions, and mushrooms, all nestled on a bed of stretchy mozzarella.",19.50,LARGE,Vegetarian,VEGETARIAN
BBQ Chicken Pizza,"Smokey and savory, our BBQ Chicken Pizza combines tender chicken pieces, caramelized onions, and a tangy BBQ sauce, topped with gooey cheese on a perfectly baked crust.",15.50,SMALL,BBQ Chicken,SPECIALTY
BBQ Chicken Pizza,"Smokey and savory, our BBQ Chicken Pizza combines tender chicken pieces, caramelized onions, and a tangy BBQ sauce, topped with gooey cheese on a perfectly baked crust.",17.50,MEDIUM,BBQ Chicken,SPECIALTY
BBQ Chicken Pizza,"Smokey and savory, our BBQ Chicken Pizza combines tender chicken pieces, caramelized onions, and a tangy BBQ sauce, topped with gooey cheese on a perfectly baked crust.",19.50,LARGE,BBQ Chicken,SPECIALTY
